vessel_name,imo_number,trajectory_sequence_json,current_port,current_status
Gener8 George T,IMO9336971,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2018-08-22"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-08-05"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""NLRTM"", ""name"": ""Rotterdam"", ""date"": ""2019-08-22"", ""lat"": 51.92, ""lon"": 4.47}, {""port"": ""NLRTM"", ""name"": ""Rotterdam"", ""date"": ""2020-02-04"", ""lat"": 51.92, ""lon"": 4.47}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2020-02-21"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-04-27"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-06-29"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-08-27"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2020-09-13"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2020-09-30"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2023-11-14"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2025-10-22"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2026-01-09"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2026-01-26"", ""lat"": 29.87, ""lon"": -93.93}]",Port Arthur / Nederland,Operating at berth
Gener8 Harriet G,IMO9302982,"[{""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2018-04-18"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2018-05-22"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2018-06-08"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2018-12-06"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2018-12-07"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""AEFJR"", ""name"": ""Fujairah"", ""date"": ""2018-12-23"", ""lat"": 25.13, ""lon"": 56.34}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2018-12-24"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""QARLF"", ""name"": ""Ras Laffan"", ""date"": ""2020-11-22"", ""lat"": 25.92, ""lon"": 51.53}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2021-02-11"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2021-12-30"", ""lat"": 35.85, ""lon"": -0.31}, {""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2022-01-16"", ""lat"": 35.85, ""lon"": -0.31}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2022-02-02"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2022-08-08"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USCRP"", ""name"": ""Corpus Christi"", ""date"": ""2022-09-01"", ""lat"": 27.81, ""lon"": -97.39}, {""port"": ""NLRTM"", ""name"": ""Rotterdam"", ""date"": ""2023-09-20"", ""lat"": 51.92, ""lon"": 4.47}, {""port"": ""AEFJR"", ""name"": ""Fujairah"", ""date"": ""2024-01-18"", ""lat"": 25.13, ""lon"": 56.34}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2024-11-20"", ""lat"": 29.87, ""lon"": -93.93}]",Port Arthur / Nederland,Operating at berth
Gener8 Kara G,IMO9302994,"[{""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2018-02-09"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USCRP"", ""name"": ""Corpus Christi"", ""date"": ""2018-04-11"", ""lat"": 27.81, ""lon"": -97.39}, {""port"": ""KRUSN"", ""name"": ""Ulsan"", ""date"": ""2018-04-28"", ""lat"": 35.5, ""lon"": 129.38}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2018-12-20"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2019-01-06"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2019-11-26"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2019-12-13"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2020-03-27"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2022-04-22"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2022-04-27"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2022-05-16"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2022-08-31"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2022-10-30"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2025-03-20"", ""lat"": 35.85, ""lon"": -0.31}, {""port"": ""AEFJR"", ""name"": ""Fujairah"", ""date"": ""2025-09-10"", ""lat"": 25.13, ""lon"": 56.34}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2025-11-03"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2026-02-18"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2026-08-03"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2026-08-20"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2026-09-06"", ""lat"": 26.83, ""lon"": 50.02}]",Juaymah,Waiting at anchor
Gener8 Maniate,IMO9461764,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2018-07-26"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2018-07-30"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2020-08-13"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2020-08-30"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""NLRTM"", ""name"": ""Rotterdam"", ""date"": ""2020-09-16"", ""lat"": 51.92, ""lon"": 4.47}, {""port"": ""CNNGB"", ""name"": ""Ningbo-Zhoushan"", ""date"": ""2020-10-03"", ""lat"": 29.87, ""lon"": 121.55}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2023-01-08"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2023-01-25"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2023-03-17"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2023-04-03"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2023-09-19"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2024-05-31"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2024-06-06"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2024-09-02"", ""lat"": 35.85, ""lon"": -0.31}, {""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2024-09-17"", ""lat"": 35.85, ""lon"": -0.31}, {""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2024-09-30"", ""lat"": 35.85, ""lon"": -0.31}]",Arzew,Operating at berth
Gener8 Strength,IMO9734642,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-10-10"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-12-17"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2021-09-07"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-05-30"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""KRUSN"", ""name"": ""Ulsan"", ""date"": ""2022-06-16"", ""lat"": 35.5, ""lon"": 129.38}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-11-08"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2023-01-05"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2023-01-16"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2023-11-14"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2025-06-02"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2025-07-09"", ""lat"": 29.87, ""lon"": -93.93}]",Port Arthur / Nederland,Waiting at anchor
Gener8 Success,IMO9727003,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-01-02"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2024-03-25"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""INPRT"", ""name"": ""Paradip / Vizag"", ""date"": ""2024-04-11"", ""lat"": 20.26, ""lon"": 86.67}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2025-05-01"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2025-05-18"", ""lat"": 29.87, ""lon"": -93.93}]",Port Arthur / Nederland,Operating at berth
George S,IMO9411331,"[{""port"": ""CNNGB"", ""name"": ""Ningbo-Zhoushan"", ""date"": ""2018-02-22"", ""lat"": 29.87, ""lon"": 121.55}, {""port"": ""USCRP"", ""name"": ""Corpus Christi"", ""date"": ""2019-06-11"", ""lat"": 27.81, ""lon"": -97.39}, {""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2019-09-16"", ""lat"": 35.85, ""lon"": -0.31}, {""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2020-02-05"", ""lat"": 35.85, ""lon"": -0.31}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-02-22"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""NLRTM"", ""name"": ""Rotterdam"", ""date"": ""2020-03-10"", ""lat"": 51.92, ""lon"": 4.47}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2021-03-18"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2021-04-04"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2021-04-21"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2021-05-08"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""CNJGT"", ""name"": ""Tangshan (Jingtang)"", ""date"": ""2023-04-16"", ""lat"": 39.2, ""lon"": 119.01}]",Tangshan (Jingtang),Waiting at anchor
Georgios,IMO9389033,"[{""port"": ""INPRT"", ""name"": ""Paradip / Vizag"", ""date"": ""2019-05-27"", ""lat"": 20.26, ""lon"": 86.67}, {""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2019-06-13"", ""lat"": 22.43, ""lon"": 69.84}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2020-03-11"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-03-27"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""CNNGB"", ""name"": ""Ningbo-Zhoushan"", ""date"": ""2020-04-13"", ""lat"": 29.87, ""lon"": 121.55}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-12-21"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""CNNGB"", ""name"": ""Ningbo-Zhoushan"", ""date"": ""2021-01-07"", ""lat"": 29.87, ""lon"": 121.55}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2021-10-28"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-01-11"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-03-30"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2022-04-16"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-05-19"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""KWMFA"", ""name"": ""Mina Al Ahmadi"", ""date"": ""2022-09-05"", ""lat"": 29.07, ""lon"": 48.15}, {""port"": ""INPRT"", ""name"": ""Paradip / Vizag"", ""date"": ""2022-09-22"", ""lat"": 20.26, ""lon"": 86.67}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2023-08-23"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2023-11-01"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""INPRT"", ""name"": ""Paradip / Vizag"", ""date"": ""2023-11-18"", ""lat"": 20.26, ""lon"": 86.67}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2024-03-18"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2024-04-04"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2024-06-28"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2025-07-14"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""KWMFA"", ""name"": ""Mina Al Ahmadi"", ""date"": ""2025-10-29"", ""lat"": 29.07, ""lon"": 48.15}, {""port"": ""KWMFA"", ""name"": ""Mina Al Ahmadi"", ""date"": ""2025-12-10"", ""lat"": 29.07, ""lon"": 48.15}]",Mina Al Ahmadi,Operating at berth
Gh Christie,IMO1043669,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2026-07-23"", ""lat"": 26.83, ""lon"": 50.02}]",Juaymah,Waiting at anchor
Ghazal,IMO9387009,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-04-24"", ""lat"": 26.83, ""lon"": 50.02}]",Juaymah,Underway
Ghibli,IMO9882946,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2023-01-04"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2023-01-21"", ""lat"": 26.83, ""lon"": 50.02}]",Juaymah,Waiting at anchor
Ghillie (NB),IMO9855331,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-11-14"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""NLRTM"", ""name"": ""Rotterdam"", ""date"": ""2020-04-07"", ""lat"": 51.92, ""lon"": 4.47}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2020-11-10"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2025-01-31"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""KRUSN"", ""name"": ""Ulsan"", ""date"": ""2025-02-17"", ""lat"": 35.5, ""lon"": 129.38}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2025-12-05"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2026-05-18"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""AEFJR"", ""name"": ""Fujairah"", ""date"": ""2026-08-31"", ""lat"": 25.13, ""lon"": 56.34}, {""port"": ""AEFJR"", ""name"": ""Fujairah"", ""date"": ""2026-09-01"", ""lat"": 25.13, ""lon"": 56.34}]",Fujairah,Waiting at anchor
Ghinah o/o,IMO9484728,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-01-09"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2020-09-03"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""CNNGB"", ""name"": ""Ningbo-Zhoushan"", ""date"": ""2020-09-20"", ""lat"": 29.87, ""lon"": 121.55}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2022-05-26"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2024-04-23"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2024-05-10"", ""lat"": 29.87, ""lon"": -93.93}]",Port Arthur / Nederland,Waiting at anchor
Giannis,IMO9432050,"[{""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2018-11-22"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2018-12-09"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2019-04-15"", ""lat"": 35.85, ""lon"": -0.31}, {""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2019-05-02"", ""lat"": 22.43, ""lon"": 69.84}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2019-12-04"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-05-01"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""QARLF"", ""name"": ""Ras Laffan"", ""date"": ""2020-09-03"", ""lat"": 25.92, ""lon"": 51.53}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2021-11-23"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""INPRT"", ""name"": ""Paradip / Vizag"", ""date"": ""2021-12-10"", ""lat"": 20.26, ""lon"": 86.67}, {""port"": ""QARLF"", ""name"": ""Ras Laffan"", ""date"": ""2023-03-13"", ""lat"": 25.92, ""lon"": 51.53}, {""port"": ""QARLF"", ""name"": ""Ras Laffan"", ""date"": ""2023-07-06"", ""lat"": 25.92, ""lon"": 51.53}, {""port"": ""CNJGT"", ""name"": ""Tangshan (Jingtang)"", ""date"": ""2023-07-23"", ""lat"": 39.2, ""lon"": 119.01}]",Tangshan (Jingtang),Operating at berth
Gladiator,IMO9378864,"[{""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2018-01-17"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2018-05-30"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""ZASDB"", ""name"": ""Saldanha Bay"", ""date"": ""2018-06-16"", ""lat"": -33.02, ""lon"": 17.95}, {""port"": ""INPRT"", ""name"": ""Paradip / Vizag"", ""date"": ""2019-06-10"", ""lat"": 20.26, ""lon"": 86.67}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2020-08-18"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""CNNGB"", ""name"": ""Ningbo-Zhoushan"", ""date"": ""2020-09-04"", ""lat"": 29.87, ""lon"": 121.55}, {""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2020-09-21"", ""lat"": 22.43, ""lon"": 69.84}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2022-02-15"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""INPRT"", ""name"": ""Paradip / Vizag"", ""date"": ""2022-03-04"", ""lat"": 20.26, ""lon"": 86.67}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2025-11-21"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2025-12-08"", ""lat"": 22.43, ""lon"": 69.84}]",Sikka / Jamnagar,Operating at berth
Glasgow Voyager,IMO9901336,"[{""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2024-01-25"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2024-05-08"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2024-10-11"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2025-02-04"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2025-06-18"", ""lat"": 29.87, ""lon"": -93.93}]",Port Arthur / Nederland,Waiting at anchor
Global Capricorn,IMO9972596,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-06-13"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""QARLF"", ""name"": ""Ras Laffan"", ""date"": ""2019-08-22"", ""lat"": 25.92, ""lon"": 51.53}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2019-10-31"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""QARLF"", ""name"": ""Ras Laffan"", ""date"": ""2020-11-05"", ""lat"": 25.92, ""lon"": 51.53}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-07-21"", ""lat"": 26.83, ""lon"": 50.02}]",Juaymah,Underway
Global Glory,IMO9321549,"[{""port"": ""MYBTU"", ""name"": ""Bintulu"", ""date"": ""2019-06-19"", ""lat"": 3.2, ""lon"": 113.04}]",Bintulu,Underway
Global Scorpio,IMO9390126,"[{""port"": ""SAYNB"", ""name"": ""Yanbu"", ""date"": ""2021-07-29"", ""lat"": 24.09, ""lon"": 38.06}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2021-10-28"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-03-17"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-05-12"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-06-23"", ""lat"": 26.83, ""lon"": 50.02}]",Juaymah,Underway
Global Sea Spirit,IMO9880465,"[{""port"": ""KRUSN"", ""name"": ""Ulsan"", ""date"": ""2021-01-29"", ""lat"": 35.5, ""lon"": 129.38}, {""port"": ""KRUSN"", ""name"": ""Ulsan"", ""date"": ""2021-02-15"", ""lat"": 35.5, ""lon"": 129.38}]",Ulsan,Underway
Global Sealine,IMO9880477,"[{""port"": ""KRUSN"", ""name"": ""Ulsan"", ""date"": ""2021-01-29"", ""lat"": 35.5, ""lon"": 129.38}, {""port"": ""KRUSN"", ""name"": ""Ulsan"", ""date"": ""2021-02-15"", ""lat"": 35.5, ""lon"": 129.38}, {""port"": ""USCMR"", ""name"": ""Cameron / Lake Charles"", ""date"": ""2023-02-09"", ""lat"": 30.22, ""lon"": -93.22}, {""port"": ""USCMR"", ""name"": ""Cameron / Lake Charles"", ""date"": ""2023-02-26"", ""lat"": 30.22, ""lon"": -93.22}]",Cameron / Lake Charles,Operating at berth
Globe Atlas,IMO9281729,"[{""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2021-07-08"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USHOU"", ""name"": ""Houston"", ""date"": ""2021-11-11"", ""lat"": 29.74, ""lon"": -95.27}, {""port"": ""USHOU"", ""name"": ""Houston"", ""date"": ""2022-05-12"", ""lat"": 29.74, ""lon"": -95.27}]",Houston,Underway
Globe Iris,IMO9021404,"[{""port"": ""USHOU"", ""name"": ""Houston"", ""date"": ""2022-03-31"", ""lat"": 29.74, ""lon"": -95.27}]",Houston,Underway
Globe Polaris,IMO9065758,"[{""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2021-03-04"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2021-07-29"", ""lat"": 29.87, ""lon"": -93.93}]",Port Arthur / Nederland,Underway
Glory Prosperity,IMO9728523,"[{""port"": ""BRSSZ"", ""name"": ""Santos"", ""date"": ""2025-02-12"", ""lat"": -23.96, ""lon"": -46.33}]",Santos,Operating at berth
